iter	Accuracy	Logloss
391	0.9694656489	0.1866267719
392	0.9694656489	0.1863229489
393	0.9698473282	0.1860396143
394	0.9698473282	0.1857373114
395	0.9698473282	0.1850403374
396	0.9702290076	0.1848339735
397	0.970610687	0.184415006
398	0.9702290076	0.1839981842
399	0.9702290076	0.1834141301
400	0.970610687	0.1829313496
401	0.9709923664	0.1825260698
402	0.9709923664	0.1821089616
403	0.9717557252	0.1817805376
404	0.9721374046	0.1815656384
405	0.9721374046	0.1813157257
406	0.972519084	0.1806813801
407	0.9729007634	0.1802227026
408	0.9736641221	0.1799103259
409	0.9729007634	0.1793629033
410	0.9744274809	0.1789465006
411	0.9744274809	0.1785857499
412	0.9744274809	0.1780252828
413	0.9751908397	0.1777643403
414	0.9759541985	0.1775080655
415	0.9763358779	0.1770084004
416	0.9763358779	0.1763095973
417	0.9755725191	0.1760179244
418	0.9755725191	0.1755338662
419	0.9759541985	0.1752904573
420	0.9763358779	0.174981754
421	0.9763358779	0.1746537119
422	0.9759541985	0.1742602534
423	0.9759541985	0.1738779871
424	0.9763358779	0.1736160019
425	0.9759541985	0.1732986611
426	0.9770992366	0.1729329542
427	0.977480916	0.1724994873
428	0.9778625954	0.1721114273
429	0.9782442748	0.1717167675
430	0.9786259542	0.1709415837
431	0.9786259542	0.1705888904
432	0.9786259542	0.1701535254
433	0.9790076336	0.1696741361
434	0.9790076336	0.1693506545
435	0.9797709924	0.1690666048
436	0.979389313	0.1687048972
437	0.979389313	0.1679552377
438	0.9797709924	0.1676059682
439	0.9801526718	0.1672534085
440	0.9805343511	0.1669350799
441	0.9801526718	0.1666609528
442	0.9809160305	0.1663098882
443	0.9809160305	0.1661723979
444	0.9805343511	0.1659408091
445	0.9805343511	0.1656565486
446	0.9809160305	0.1653509015
447	0.9816793893	0.1649984552
448	0.9816793893	0.1646821709
449	0.9820610687	0.1644496913
450	0.9820610687	0.1640640233
451	0.9809160305	0.1636593966
452	0.9812977099	0.163193679
453	0.9812977099	0.1629650308
454	0.9812977099	0.1627477474
455	0.9816793893	0.162359284
456	0.9820610687	0.1620180404
457	0.9828244275	0.1616399894
458	0.9832061069	0.1613103775
459	0.9832061069	0.161088493
460	0.9835877863	0.1609502045
461	0.9835877863	0.1605701536
462	0.9839694656	0.1601813024
463	0.9832061069	0.1598170708
464	0.9835877863	0.1595641171
465	0.9835877863	0.1593304037
466	0.9839694656	0.1590663935
467	0.9839694656	0.1587377664
468	0.9839694656	0.1582587729
469	0.984351145	0.1577537819
470	0.984351145	0.157408543
471	0.984351145	0.1569193269
472	0.9847328244	0.1565651202
473	0.9847328244	0.1561210748
474	0.9847328244	0.1558235468
475	0.9847328244	0.1555378004
476	0.9847328244	0.1551731988
477	0.9847328244	0.154978542
478	0.9847328244	0.1547138703
479	0.9851145038	0.1543716228
480	0.9854961832	0.1540287927
481	0.9858778626	0.1536540664
482	0.9854961832	0.1534431834
483	0.9858778626	0.1530386105
484	0.9858778626	0.1527684826
485	0.9858778626	0.152485221
486	0.9858778626	0.1522416003
487	0.9858778626	0.1520601911
488	0.986259542	0.1516418212
489	0.986259542	0.1513502467
490	0.986259542	0.1511134841
491	0.986259542	0.150636111
492	0.986259542	0.1504471608
493	0.986259542	0.15023448
494	0.986259542	0.150077037
495	0.9866412214	0.1497322126
496	0.9870229008	0.1494372066
497	0.9870229008	0.1491401735
498	0.9870229008	0.1488986211
499	0.9870229008	0.1486292674
500	0.9870229008	0.1483603345
501	0.9870229008	0.1481076267
502	0.9870229008	0.1479102908
503	0.9870229008	0.1476072999
504	0.9870229008	0.1473536642
505	0.9874045802	0.1470330465
506	0.9874045802	0.1466269367
507	0.9877862595	0.1464172904
508	0.9877862595	0.1461625653
509	0.9877862595	0.145890178
510	0.9885496183	0.1455116126
511	0.9885496183	0.1452908325
512	0.9885496183	0.1450894134
513	0.9885496183	0.1448612528
514	0.9885496183	0.1446342834
515	0.9885496183	0.1444579919
516	0.9885496183	0.1440241724
517	0.9885496183	0.1437559589
518	0.9885496183	0.1434591199
519	0.9885496183	0.1433126131
520	0.9885496183	0.1430633619
521	0.9885496183	0.1428314176
522	0.9885496183	0.1425156808
523	0.9893129771	0.1422413161
524	0.9893129771	0.1419939455
525	0.9893129771	0.1418208354
526	0.9893129771	0.1417142099
527	0.9893129771	0.1414363843
528	0.9893129771	0.1410704574
529	0.9896946565	0.1408075798
530	0.9896946565	0.1405062196
531	0.9896946565	0.140240648
532	0.9900763359	0.1398873944
533	0.9904580153	0.139730328
534	0.9904580153	0.1394437957
535	0.9908396947	0.1391939555
536	0.9908396947	0.1390128208
537	0.9908396947	0.1386744891
538	0.9908396947	0.1383805607
539	0.9908396947	0.1382367305
540	0.9908396947	0.1379865768
541	0.9908396947	0.1376884573
542	0.9908396947	0.1374665123
543	0.9904580153	0.1372434179
544	0.9908396947	0.1369777689
545	0.9908396947	0.1364787771
546	0.9904580153	0.1360118233
547	0.9908396947	0.1358695628
548	0.9908396947	0.135604938
549	0.9908396947	0.1352662836
550	0.9908396947	0.1350394804
551	0.9908396947	0.1346575246
552	0.9908396947	0.1343069121
553	0.9908396947	0.1341023676
554	0.9908396947	0.1337787686
555	0.9908396947	0.1335765577
556	0.9908396947	0.1333499113
557	0.9908396947	0.1330863272
558	0.9908396947	0.1328866802
559	0.9908396947	0.1326558582
560	0.9908396947	0.1323857105
561	0.9908396947	0.1321285732
562	0.9908396947	0.1319700415
563	0.991221374	0.1317087893
564	0.991221374	0.1314551464
565	0.991221374	0.1312419747
566	0.991221374	0.1309621443
567	0.9916030534	0.1307229676
568	0.9916030534	0.1303427999
569	0.9916030534	0.1300890508
570	0.9916030534	0.1299094042
571	0.9916030534	0.1296725783
572	0.9916030534	0.1294793973
573	0.9916030534	0.1292692852
574	0.9916030534	0.1289766992
575	0.9916030534	0.1287689566
576	0.9916030534	0.1285641213
577	0.9916030534	0.1283463571
578	0.9916030534	0.1281139318
579	0.9916030534	0.1278957929
580	0.9916030534	0.127620681
581	0.9916030534	0.1273477023
582	0.9919847328	0.1271747695
583	0.9916030534	0.1268795348
584	0.9919847328	0.1266605677
585	0.9919847328	0.1265152399
586	0.9919847328	0.1262674725
587	0.9919847328	0.1260648928
588	0.9919847328	0.1258530431
589	0.9919847328	0.1257038046
590	0.9923664122	0.1255536993
591	0.9927480916	0.1253765334
592	0.9927480916	0.1250789414
593	0.993129771	0.1248917894
594	0.993129771	0.1246910454
595	0.9927480916	0.1243527979
596	0.9927480916	0.1241895951
597	0.9927480916	0.1239835074
598	0.9927480916	0.1238091479
599	0.9927480916	0.123505034
600	0.993129771	0.1232586339
601	0.993129771	0.1229779671
602	0.993129771	0.122775985
603	0.993129771	0.1225982932
604	0.993129771	0.1223029774
605	0.993129771	0.1220667494
606	0.9935114504	0.1219231659
607	0.9935114504	0.1215933585
608	0.9935114504	0.1214415773
609	0.9935114504	0.1212083728
610	0.9935114504	0.1209740105
611	0.9935114504	0.120787074
612	0.9935114504	0.1206348764
613	0.9935114504	0.1204901217
614	0.9935114504	0.1203115375
615	0.9935114504	0.1201454425
616	0.9935114504	0.1200113904
617	0.9935114504	0.1195972073
618	0.9935114504	0.1193552898
619	0.9935114504	0.1191220838
620	0.9938931298	0.1188509438
621	0.9938931298	0.118686928
622	0.9938931298	0.1185336387
623	0.9938931298	0.1182654855
624	0.9938931298	0.1179744477
625	0.9938931298	0.1178248111
626	0.9938931298	0.1176163686
627	0.9938931298	0.1173748264
628	0.9942748092	0.1171042826
629	0.9942748092	0.1168402279
630	0.9942748092	0.1166771558
631	0.9942748092	0.1164746241
632	0.9942748092	0.1163066527
633	0.9942748092	0.1161586343
634	0.9942748092	0.1160217074
635	0.9942748092	0.1159236699
636	0.9942748092	0.1157063941
637	0.9942748092	0.1153333511
638	0.9942748092	0.115084591
639	0.9942748092	0.1148533038
640	0.9942748092	0.1146120902
641	0.9942748092	0.1143860953
642	0.9942748092	0.1141559315
643	0.9942748092	0.1139918227
644	0.9942748092	0.1138091013
645	0.9942748092	0.1136309677
646	0.9942748092	0.1134893156
647	0.9942748092	0.113361435
648	0.9942748092	0.113099784
649	0.9942748092	0.1128783893
650	0.9942748092	0.1127096413
651	0.9942748092	0.1125267918
652	0.9942748092	0.1123198554
653	0.9942748092	0.1122551729
654	0.9942748092	0.1120924804
655	0.9942748092	0.1119599161
656	0.9946564885	0.1116729166
657	0.9946564885	0.1114271074
658	0.9946564885	0.1113081989
659	0.9946564885	0.1111731934
660	0.9946564885	0.1109161574
661	0.9946564885	0.1107439743
662	0.9946564885	0.1106117754
663	0.9950381679	0.1104225783
664	0.9950381679	0.110239751
665	0.9950381679	0.1100289724
666	0.9950381679	0.1098378557
667	0.9950381679	0.1096509055
668	0.9950381679	0.1094879934
669	0.9954198473	0.1093435751
670	0.9954198473	0.1090659386
671	0.9954198473	0.1089135198
672	0.9954198473	0.1086803786
673	0.9954198473	0.1085217564
674	0.9954198473	0.1082886784
675	0.9954198473	0.1080998192
676	0.9954198473	0.1080252991
677	0.9954198473	0.1077707191
678	0.9954198473	0.1076239545
679	0.9954198473	0.107390295
680	0.9958015267	0.1070772538
681	0.9954198473	0.1067615264
682	0.9958015267	0.1065897494
683	0.9958015267	0.106358292
684	0.9958015267	0.1062075162
685	0.9961832061	0.1060009412
686	0.9965648855	0.1057472403
687	0.9965648855	0.1056152847
688	0.9965648855	0.1052968249
689	0.9961832061	0.1050805484
690	0.9965648855	0.10487863
691	0.9965648855	0.1047010822
692	0.9965648855	0.1045679032
693	0.9965648855	0.1044587578
694	0.9965648855	0.1042864702
695	0.9965648855	0.1042051569
696	0.9965648855	0.1040290819
697	0.9965648855	0.1039076234
698	0.9965648855	0.1037013318
699	0.9965648855	0.1034486929
700	0.9965648855	0.1032844199
701	0.9965648855	0.1031079579
702	0.9965648855	0.1029413148
703	0.9965648855	0.1027413396
704	0.9965648855	0.1025296158
705	0.9965648855	0.1023179113
706	0.9965648855	0.1021365748
707	0.9965648855	0.101935545
708	0.9965648855	0.1017931992
709	0.9965648855	0.1015208989
710	0.9965648855	0.1014420438
711	0.9965648855	0.1012379325
712	0.9965648855	0.1009561874
713	0.9965648855	0.100800407
714	0.9965648855	0.1006221322
715	0.9965648855	0.100355804
716	0.9965648855	0.1002098303
717	0.9965648855	0.09997286685
718	0.9965648855	0.09983050497
719	0.9965648855	0.09964699449
720	0.9965648855	0.0995234617
721	0.9965648855	0.09924733167
722	0.9965648855	0.09902005296
723	0.9965648855	0.09879700856
724	0.9965648855	0.09860924157
725	0.9965648855	0.09840918436
726	0.9965648855	0.09821561764
727	0.9965648855	0.09803379222
728	0.9965648855	0.09786131274
729	0.9965648855	0.09772956574
730	0.9965648855	0.09754617742
731	0.9965648855	0.09738302029
732	0.9965648855	0.0972121759
733	0.9965648855	0.09710085768
734	0.9965648855	0.09692768905
735	0.9965648855	0.09666804946
736	0.9969465649	0.09650387169
737	0.9969465649	0.09639269384
738	0.9969465649	0.09628337023
739	0.9965648855	0.09610068291
740	0.9973282443	0.09596738828
741	0.9969465649	0.09582387475
742	0.9973282443	0.09569474861
743	0.9973282443	0.09555964472
744	0.9973282443	0.09535705827
745	0.9973282443	0.09518389302
746	0.9969465649	0.09502657744
747	0.9977099237	0.09489162072
748	0.9977099237	0.09472021924
749	0.9977099237	0.09449160668
750	0.9977099237	0.09432448009
751	0.9977099237	0.09415090153
752	0.9977099237	0.0940154012
753	0.9973282443	0.09379706613
754	0.9973282443	0.09363929663
755	0.9980916031	0.09348537734
756	0.9980916031	0.09331991634
757	0.9980916031	0.09312923512
758	0.9977099237	0.09302005319
759	0.9980916031	0.09288271539
760	0.9977099237	0.09262396313
761	0.9980916031	0.09239114609
762	0.9980916031	0.09227191138
763	0.9980916031	0.09213503176
764	0.9980916031	0.09195112898
765	0.9980916031	0.09169010109
766	0.9980916031	0.09153604435
767	0.9980916031	0.09139517477
768	0.9980916031	0.091302581
769	0.9980916031	0.09115708963
770	0.9980916031	0.09104120958
771	0.9980916031	0.09090259169
772	0.9980916031	0.09077051623
773	0.9980916031	0.09067901396
774	0.9980916031	0.09052146265
775	0.9980916031	0.09026681449
776	0.9980916031	0.09009662457
777	0.9980916031	0.08987409931
